,0,1,2,3,4,5,6,7,8,9,10
0,0,3203,16017,14743,12521,17332,6547,15657,11146,10329,4693
1,1,13583,7936,878,6558,3701,2968,4034,1971,4981,12858
2,2,4045,7449,3,8436,4720,12705,17373,7472,5159,14022
3,3,8436,4045,2,7449,17467,14022,5159,5711,4720,7472
4,4,11220,7255,2438,3732,9458,11980,8218,16390,4958,2893
5,5,2963,1966,3911,125,90,1140,1468,7594,486,843
6,6,426,11220,3732,7255,2438,4,11980,8218,16390,4958
7,7,11457,1110,16348,16828,4258,915,15867,3252,807,2935
8,8,15941,7585,12959,2386,12512,14393,7705,8026,8473,5786
9,9,12176,11405,11349,192,1717,1702,15375,8071,13318,13493
10,10,1632,8898,208,3871,534,687,1148,1508,2339,1186
11,11,1468,486,287,125,1140,7594,90,843,1230,5655
12,12,42,7408,55,1691,637,10704,8815,2580,12764,3721
13,13,396,860,1339,273,6785,15346,8485,11905,8731,14059
14,14,16953,13116,11688,19,8384,12559,2033,6393,864,1235
15,15,8929,9793,3516,1032,8494,11671,948,8159,4822,13650
16,16,13280,77,13725,3476,4245,17308,9016,355,11644,4453
17,17,3992,11234,13580,1409,17362,3884,1410,3532,3513,2015
18,18,5516,6230,149,3006,1770,1980,10815,1324,17261,7778
19,19,11688,13116,8384,2033,12559,841,373,1235,963,2395
20,20,8887,1459,15417,9853,1339,860,13,396,273,7503
21,21,6818,15480,711,1040,6613,13598,14065,896,12230,86
22,22,850,1231,416,4128,13259,2217,10056,6326,7660,14812
23,23,406,4868,1380,7850,8621,15331,7236,3362,11554,12553
24,24,4678,12921,7772,15273,7125,4895,5227,973,1392,3046
25,25,3213,3897,3022,4955,1584,3572,16702,2552,2906,12834
26,26,2065,730,16108,1699,3408,1038,79,1916,1411,2287
27,27,772,3036,14299,10707,947,7556,3806,909,450,1359
28,28,11066,7650,11562,8781,221,12031,13991,8099,4527,390
29,29,119,1836,831,244,14280,15448,13953,880,263,2614
30,30,1020,3228,2503,3371,501,10397,245,7104,10530,8473
31,31,707,8477,9451,9417,4500,2533,14920,11054,2878,5891
32,32,990,51,3521,8483,572,3608,8261,93,60,1391
33,33,71,4113,5138,7121,419,3665,13681,14055,14476,3614
34,34,682,350,10922,17220,6059,12931,15504,16622,7382,11723
35,35,8199,7768,12698,426,6863,2246,11359,12738,14359,16502
36,36,13991,12031,11562,10461,7650,221,3976,8781,9272,8099
37,37,355,9175,11644,77,13280,13725,137,14405,5999,11503
38,38,1578,2293,12741,3103,411,3376,11300,6969,11589,16157
39,39,9502,289,5274,2414,496,9249,834,4861,292,10413
40,13860,40,7037,2714,975,10971,7927,16187,8823,15059,7739
41,41,12411,4113,71,8396,836,3665,13681,14476,7121,419
42,12,42,7408,55,1691,637,10704,8815,2580,12764,3721
43,43,71,5138,4863,8396,12933,2074,6601,1251,14895,10903
44,44,13773,1323,9107,6962,7839,1219,243,388,11109,3701
45,45,392,2116,2612,1672,4282,9222,10841,4341,14771,3567
46,46,3033,5831,2920,6291,264,9228,5867,952,5446,16115
47,47,151,5101,360,172,223,3642,2070,2037,6416,973
48,48,15761,4174,11000,6505,11137,3489,2482,1109,5639,1812
49,12186,14838,14731,49,1387,11854,4328,16510,16882,10702,12088
50,50,602,740,1493,1276,9647,4139,2473,12049,6795,2299
51,51,3521,8483,1391,572,16609,6996,6284,362,206,3608
52,7423,14407,52,13827,11928,7474,326,8086,16814,12918,5545
53,102,234,148,53,189,4303,17620,12393,14740,1768,1342
54,54,10531,6742,1504,431,9532,5430,8708,1274,6031,1603
55,55,1691,637,7408,42,12,4674,9688,8750,8430,3038
56,56,3111,1202,6673,9293,2142,1982,3647,3929,3998,3792
57,277,57,171,1009,11613,251,3854,5965,1722,11041,2095
58,58,241,2906,2552,1584,3572,16702,4955,8384,3213,25
59,59,1315,13486,381,1637,12526,10331,12556,15465,8076,8980
60,60,98,997,51,3521,8483,572,3608,8261,93,32
61,61,87,15493,16391,13002,6548,1505,6536,3617,13465,4405
62,62,773,10980,14884,6979,17660,8434,4241,15129,15306,5692
63,63,10363,6696,13654,9302,4512,14804,9947,401,4831,10455
64,64,7850,4824,15257,12789,8368,7647,1725,5060,3360,6840
65,65,2924,6458,5814,13479,13092,11966,13400,5307,12756,16125
66,66,7122,3179,3442,9118,12347,7716,16607,15038,7348,6006
67,67,6324,555,4846,729,1809,661,3371,15941,12959,7585
68,68,1229,2097,2287,7710,296,7255,2438,3732,805,7947
69,69,952,5446,46,1352,6819,982,3490,764,9274,1718
70,70,145,158,2175,1273,184,6667,15309,4337,341,178
71,71,4113,419,7121,33,5138,4863,8396,12933,2074,6601
72,72,11699,10317,16660,4665,5664,223,3642,2070,13977,9840
73,73,434,1081,5108,3187,15394,8914,10767,13904,7921,8927
74,74,1290,13403,707,9451,9417,4500,2533,14920,11054,2878
75,75,738,14758,440,15347,11422,5628,496,790,6206,5274
76,76,533,2944,15248,13509,8154,3030,3936,6899,15047,17391
77,77,13280,13725,17308,9016,355,11644,4453,14541,7350,2399
78,78,7109,5141,6375,12470,8723,9180,12259,7287,7319,8932
79,79,1916,1411,4235,1525,488,7710,2287,730,16108,1699
80,80,783,14232,13062,1846,14358,2623,10421,10185,713,2384
81,81,11041,2095,251,3854,5965,11613,1722,1009,277,57
82,82,2992,13578,961,5375,8292,10327,4902,17069,4741,3518
83,83,16855,13624,2948,13364,17396,5372,2633,13091,5120,12906
84,84,8926,9390,147,13902,14541,10132,4072,8254,4099,3297
85,85,2008,196,16600,204,302,98,134,175,482,16568
86,12230,86,896,14065,13598,217,6613,1040,711,5532,12789
87,87,61,15493,13465,4405,1505,16391,6536,6548,13002,3617
88,88,982,9274,764,3490,1352,5446,491,1771,4016,2759
89,89,14034,2551,4607,9164,3073,345,13467,3781,2025,15532
90,90,843,1966,1230,5655,486,287,11,1468,7594,125
91,91,13027,4880,7839,3701,13773,1323,9107,44,2914,3849
92,92,237,12945,4685,3906,6782,4098,5310,6865,7774,3229
93,93,8261,572,8483,365,285,1544,412,1372,10387,8175
94,94,71,4113,836,5138,3614,7121,419,33,8396,16163
95,95,71,5138,4863,8396,12933,2074,6601,1251,14895,10903
96,96,7194,6928,10361,6931,9688,13486,5184,9403,381,1637
97,97,13793,3749,1186,2339,1148,1508,687,534,651,2170
98,98,60,997,204,302,51,3521,8483,85,572,3608
99,99,2383,4258,11964,11856,11822,11911,15551,4097,13916,14263
100,100,930,2048,2018,17003,9134,11691,6444,12119,796,4066
101,101,595,572,200,17048,3655,93,1544,16736,323,990
102,102,234,148,53,189,4303,17620,12393,14740,1768,1342
103,103,525,805,7947,6494,6450,1229,68,9709,296,4235
104,104,3420,2618,8357,5614,15050,3874,10980,14842,773,5692
105,105,16156,4563,4564,15304,840,5282,1562,759,457,7576
106,106,9834,16706,210,4588,563,6867,12046,4089,4532,5754
107,107,9045,2013,9904,9282,12194,3095,7552,7374,5797,3671
108,108,12906,753,12318,346,358,11823,3153,11271,6397,16195
109,109,886,3661,7159,5597,3679,5413,10429,10397,245,5661
110,110,4537,15045,1337,5276,6521,4631,2930,12911,8836,7819
111,111,204,6284,8175,124,3902,10677,249,2008,7592,582
112,112,9312,14162,820,16262,16028,2427,11991,14133,14782,621
113,113,4453,5999,11503,4072,77,13280,13725,9798,4099,13110
114,114,13699,855,5076,10905,16453,2266,7560,9142,2877,2241
115,115,202,16078,12196,4029,13158,7862,3185,8055,16041,10865
116,116,8877,9760,5113,2639,6736,672,4326,680,1511,3300
117,117,9947,4512,14804,401,10455,4831,13654,6696,10363,63
118,1263,1978,3225,1746,1495,1023,337,1118,405,1810,1446
119,119,29,1836,831,244,14280,15448,13953,880,263,2614
120,120,11111,11625,11571,2333,12682,1152,9110,1466,11759,11711
121,121,10677,582,8175,124,3902,249,2008,7592,111,101
122,122,981,1161,15974,4157,2556,7208,715,1170,1050,549
123,123,4648,17321,4880,6020,15014,226,4126,3849,598,873
124,124,8175,8483,3902,1372,8261,572,4567,582,4398,93
125,125,1140,1468,486,287,11,7594,1966,90,2963,5
126,126,14240,7201,3180,5389,10428,1154,4026,7597,1339,860
127,127,309,191,178,465,918,1296,157,225,341,2358
128,128,8272,13516,5399,7698,4852,2725,4443,4883,3546,12631
129,129,8496,16831,13982,4647,4527,1998,5158,3449,17286,5479
130,130,4717,1125,2863,344,342,2555,3585,8020,686,1171
131,131,4582,13509,3358,3936,4779,15047,6595,7711,17602,5636
132,132,6493,4236,1990,7060,4782,7671,2242,6946,1383,6061
133,133,3453,4792,9079,16439,1052,5770,6408,14701,16464,1648
134,134,175,482,641,5040,3340,1929,2009,17048,12552,16568
135,135,5577,7168,4139,71,12556,10331,9688,13486,15465,8076
136,136,8396,836,384,4113,71,10331,12556,3090,6287,1954
137,137,9016,3476,11644,3780,10132,4586,17163,2508,13280,77
138,138,2755,14816,5046,5567,11746,1250,546,818,506,2427
139,139,17493,8898,208,1632,3871,1186,534,687,1508,2339
140,140,1353,4043,4030,3453,4792,133,6408,16439,9079,1052
141,141,11962,3394,1602,1466,11759,11711,364,3473,8080,16571
142,142,14344,11469,1400,14658,4756,15695,13631,14571,618,16028
143,446,983,143,1370,214,6989,7578,1078,156,4874,1072
144,144,898,571,378,4982,15206,12139,5700,1638,2218,692
